,Orderdate,PiecesOrdered,PiecesDelivered,PiecesReturned,Demand,Sales,ReturnValue
0,2000-01-01,4606,4606,1831,99239.19,45232.51,41420.48
1,2004-11-01,12,12,7,350.0,119.95,183.72
2,2005-09-01,8,8,0,204.0,179.74,0.0
3,2007-01-01,1,1,0,25.0,21.81,0.0
4,2007-07-01,8,8,4,195.0,110.74,72.57
5,2007-08-01,7,7,1,175.0,133.14000000000001,16.6
6,2007-09-01,228,228,104,7065.0,3238.7200000000003,2847.62
7,2007-10-01,573,573,231,17923.2,8989.68,6548.150000000001
8,2007-11-01,2271,2271,952,64887.78,32401.49,24373.27
9,2007-12-01,3695,3695,1065,97532.31,60310.58,27763.0
10,2008-01-01,69729,69728,29174,1717873.04,819714.45,676938.72
11,2008-02-01,95575,95575,41987,2309619.9,1050314.62,955669.42
12,2008-03-01,67547,67547,26371,1608872.22,809554.81,604051.37
13,2008-04-01,71396,71396,28744,1736390.27,847358.99,665337.32
14,2008-05-01,52130,52130,18242,1217670.88,659217.33,410504.09
15,2008-06-01,50573,50573,16699,1161257.2,652554.82,371141.75
16,2008-07-01,40230,40230,14411,960861.29,514561.46,326410.79
17,2008-08-01,45445,45445,17855,1078897.33,534511.45,404366.19
18,2008-09-01,99659,99658,40298,2376536.16,1137316.16,940625.53
19,2008-10-01,78644,78644,32183,1897240.83,913813.34,747508.45
20,2008-11-01,101625,101625,43493,2445620.29,1139604.87,990575.63
21,2008-12-01,55479,55479,21124,1307747.72,670756.36,476254.19
22,2009-01-01,95961,95961,42397,2274368.52,1032293.86,951690.41
23,2009-02-01,95542,95542,42584,2221108.48,996504.66,942774.3
24,2009-03-01,89649,89645,37805,2092842.1,984889.61,844600.99
25,2009-04-01,73857,73849,29785,1702624.15,831240.43,657857.8
26,2009-05-01,54687,54681,20792,1259458.33,647417.4,456514.33
27,2009-06-01,58947,58898,22739,1350814.38,681507.37,499335.73
28,2009-07-01,46986,46986,16914,1076826.97,572427.64,375070.22
29,2009-08-01,56181,56176,22238,1256800.76,613417.8,480902.67
30,2009-09-01,102512,102502,41371,2335264.04,1122646.19,924799.89
31,2009-10-01,93180,93180,38415,2156979.5,1015335.8,872617.05
32,2009-11-01,114996,114991,47195,2627641.62,1234846.39,1061833.79
33,2009-12-01,59678,59678,22149,1364795.54,690747.27,505540.45
34,2010-01-01,88381,88381,37681,2049958.42,920675.27,865448.21
35,2010-02-01,105779,105779,47256,2524527.73,1098303.37,1104308.61
36,2010-03-01,98433,98430,41491,2342991.74,1093977.58,956880.85
37,2010-04-01,79339,79339,32434,1859616.7,881172.56,741524.93
38,2010-05-01,64916,64916,24749,1472165.09,732159.3,561905.69
39,2010-06-01,60839,60834,22051,1363464.63,708430.69,492476.53
40,2010-07-01,49080,49080,16841,1107630.47,587156.57,379002.98
41,2010-08-01,60523,60521,23320,1403875.46,677073.59,550104.71
42,2010-09-01,118681,118637,48071,2901386.85,1336936.93,1195582.39
43,2010-10-01,110648,110579,46320,2730625.13,1247226.62,1143299.82
44,2010-11-01,128024,127918,53090,3068642.17,1415999.4,1295957.74
45,2010-12-01,71021,70888,26741,1699081.03,854933.91,665256.29
46,2011-01-01,84030,81476,32662,1897228.16,933650.08,839059.97
47,2011-02-01,134952,127376,57354,3037387.17,1402477.03,1494038.38
48,2011-03-01,135308,125569,51597,2945371.19,1438421.09,1328273.72
49,2011-04-01,81550,74725,28520,1778569.72,926346.24,724886.09
50,2011-05-01,87283,80225,30112,1860996.98,975586.46,759172.79
51,2011-06-01,61961,55350,20853,1367611.86,714510.97,536505.92
52,2011-07-01,58112,50967,18822,1332500.93,714956.48,490029.11
53,2011-08-01,70802,63257,25838,1673307.55,849737.34,689665.3
54,2011-09-01,122245,111215,47594,2967714.57,1458737.82,1304214.89
55,2011-10-01,98050,88606,38530,2448106.64,1185212.19,1079737.75
56,2011-11-01,120409,108183,48354,3033893.16,1430027.44,1360524.85
57,2011-12-01,78149,69229,26591,1838380.53,904981.66,744956.05
58,2012-01-01,102898,93474,41275,2547906.3,1206137.39,1143611.59
59,2012-02-01,136573,126677,59578,3456216.53,1574462.27,1667792.69
60,2012-03-01,110295,102646,45977,2773330.61,1323771.95,1268806.95
61,2012-04-01,81707,77244,34025,2045321.73,999654.08,937105.73
62,2012-05-01,79398,74796,30706,1964671.23,1017021.52,836293.9
63,2012-06-01,88123,84675,24647,1621674.85,865386.62,665495.99
64,2012-07-01,63773,61031,23606,1546507.34,840226.49,640920.53
65,2012-08-01,80833,78391,30535,1976366.94,1069913.24,844304.07
66,2012-09-01,111277,107787,47121,2898907.39,1459601.44,1350976.75
67,2012-10-01,110705,107266,46136,2905810.05,1480413.31,1336694.89
68,2012-11-01,115092,111106,47249,3018906.24,1533395.67,1375517.69
69,2012-12-01,60728,58611,23364,1595784.2,851306.88,689790.18
70,2013-01-01,123853,119354,53421,3249540.24,1585087.61,1535737.61
71,2013-02-01,126524,122851,55151,3311486.35,1650696.81,1558410.87
72,2013-03-01,103582,101043,42420,2684627.37,1412819.57,1197826.14
73,2013-04-01,109818,107333,45642,2816284.61,1484565.78,1266112.43
74,2013-05-01,83313,81162,30442,2037892.71,1126646.85,852143.66
75,2013-06-01,79917,77860,28943,1990707.14,1137904.08,799702.36
76,2013-07-01,73168,71032,27115,1825455.11,1021608.04,752681.18
77,2013-08-01,80201,78391,30543,2032560.67,1131015.87,852364.24
78,2013-09-01,122682,119374,50245,3217199.36,1692031.46,1436668.69
79,2013-10-01,114824,111847,45224,3006321.21,1625346.9,1298017.15
80,2013-11-01,119118,114649,48117,3171270.91,1656708.72,1394218.7
81,2013-12-01,69806,67027,26331,1853647.79,1007787.92,769369.28
82,2014-01-01,134454,129688,56366,3578451.34,1813824.76,1628006.52
83,2014-02-01,144815,140343,58906,3848561.33,2034650.56,1687180.6
84,2014-03-01,122797,119159,48202,3227002.34,1745772.29,1374086.8
85,2014-04-01,84877,82416,30869,2193204.41,1257446.64,867731.9
86,2014-05-01,95966,92574,36444,2479766.34,1358060.01,1022349.7
87,2014-06-01,76511,73897,25791,1972241.67,1183437.72,714083.0
88,2014-07-01,78909,76505,26924,2030916.31,1208002.54,750066.44
89,2014-08-01,77542,75170,27977,2023186.41,1167716.99,787429.07
